Region,Ort,Referenzperiode,OffsetC
Europa,"Reykjavík",1961-1990,0
Europa,"Reykjavík",1850-1900,-0.49
Europa,"Reykjavík",1991-2020,0.99
Europa,"Reykjavík",1850-2025,-0.01
Europa,"Helsinki",1961-1990,0
Europa,"Helsinki",1850-1900,-0.51
Europa,"Helsinki",1991-2020,1.1
Europa,"Helsinki",1850-2025,0.06
Europa,"Oslo",1961-1990,0
Europa,"Oslo",1850-1900,-0.34
Europa,"Oslo",1991-2020,1.43
Europa,"Oslo",1850-2025,0.19
Europa,"Stockholm",1961-1990,0
Europa,"Stockholm",1850-1900,-0.45
Europa,"Stockholm",1991-2020,1.2
Europa,"Stockholm",1850-2025,0.05
Europa,"Sankt Petersburg",1961-1990,0
Europa,"Sankt Petersburg",1850-1900,-0.64
Europa,"Sankt Petersburg",1991-2020,1.01
Europa,"Sankt Petersburg",1850-2025,-0.06
Europa,"Riga",1961-1990,0
Europa,"Riga",1850-1900,-0.53
Europa,"Riga",1991-2020,1.29
Europa,"Riga",1850-2025,0.05
Europa,"Kopenhagen",1961-1990,0
Europa,"Kopenhagen",1850-1900,-0.59
Europa,"Kopenhagen",1991-2020,0.87
Europa,"Kopenhagen",1850-2025,-0.09
Europa,"Moskau",1961-1990,0
Europa,"Moskau",1850-1900,-0.79
Europa,"Moskau",1991-2020,1.11
Europa,"Moskau",1850-2025,-0.1
Europa,"Dublin",1961-1990,0
Europa,"Dublin",1850-1900,-0.31
Europa,"Dublin",1991-2020,0.89
Europa,"Dublin",1850-2025,0.05
Europa,"Hamburg",1961-1990,0
Europa,"Hamburg",1850-1900,-0.38
Europa,"Hamburg",1991-2020,1.07
Europa,"Hamburg",1850-2025,0.09
Europa,"Amsterdam",1961-1990,0
Europa,"Amsterdam",1850-1900,-0.4
Europa,"Amsterdam",1991-2020,1.1
Europa,"Amsterdam",1850-2025,0.03
Europa,"Berlin",1961-1990,0
Europa,"Berlin",1850-1900,-0.72
Europa,"Berlin",1991-2020,0.99
Europa,"Berlin",1850-2025,-0.11
Europa,"Warschau",1961-1990,0
Europa,"Warschau",1850-1900,-0.51
Europa,"Warschau",1991-2020,1.03
Europa,"Warschau",1850-2025,-0.02
Europa,"London",1961-1990,0
Europa,"London",1850-1900,-0.46
Europa,"London",1991-2020,0.83
Europa,"London",1850-2025,-0.03
Europa,"Köln",1961-1990,0
Europa,"Köln",1850-1900,-0.48
Europa,"Köln",1991-2020,1.02
Europa,"Köln",1850-2025,0.04
Europa,"Prag",1961-1990,0
Europa,"Prag",1850-1900,-0.56
Europa,"Prag",1991-2020,1.01
