Region,Ort,Land,Breitengrad,Laengengrad,MittelC_1961_1990,Jahr,AnomalieC
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1850,-0.87
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1851,-0.53
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1852,-0.35
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1853,-0.21
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1854,0.1
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1855,-0.71
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1856,-0.57
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1857,-0.78
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1858,-0.41
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1859,-0.38
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1860,-0.6
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1861,-0.62
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1862,-0.45
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1863,-0.65
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1864,-0.86
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1865,-0.68
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1866,-1.04
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1867,-0.39
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1868,-0.65
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1869,0.36
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1870,0.17
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1871,-0.18
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1872,-0.96
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1873,-0.54
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1874,-0.22
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1875,-0.98
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1876,-0.81
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1877,0.08
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1878,0.04
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1879,-0.36
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1880,-0.2
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1881,-0.78
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1882,0.09
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1883,-0.8
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1884,-0.33
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1885,-0.77
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1886,-0.77
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1887,-0.49
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1888,0.05
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1889,-0.35
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1890,-0.57
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1891,-0.6
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1892,-0.68
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1893,-1.33
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1894,-0.28
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1895,-1.34
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1896,-0.87
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1897,-0.19
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1898,-0.58
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1899,0.06
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1900,-0.17
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1901,-0.05
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1902,-0.67
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1903,-0.51
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1904,-0.73
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1905,-0.24
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1906,0.22
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1907,-0.43
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1908,-0.65
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1909,-1.01
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1910,-0.57
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1911,-0.74
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1912,-1.17
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1913,-1.37
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1914,0.24
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1915,-0.1
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1916,-1.08
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1917,-1.19
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1918,-0.89
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1919,-0.65
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1920,-0.67
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1921,-0.14
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1922,-0.1
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1923,-0.2
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1924,0.04
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1925,-0.03
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1926,-0.17
Europa,"Reykjavík",IS,64.13,-21.9,4.3,1927,-1.1
