Region,Ort,Land,Breitengrad,Laengengrad,MittelC_1961_1990,Jahr,AnomalieC
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1940,-0.37
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1941,-0.22
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1942,0.3
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1943,0.4
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1944,-0.42
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1945,0.73
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1946,0.27
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1947,1.18
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1948,0.42
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1949,0.64
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1950,0.51
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1951,0.2
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1952,1.03
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1953,0.09
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1954,-0.06
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1955,1.18
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1956,-0.9
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1957,-0.59
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1958,0.31
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1959,0.09
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1960,-0.01
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1961,0.45
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1962,-0.2
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1963,-0.11
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1964,-0.13
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1965,-0.15
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1966,-0.19
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1967,0.23
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1968,0.22
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1969,-0.29
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1970,-0.16
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1971,-0.43
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1972,-0.8
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1973,-0.59
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1974,-0.53
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1975,-0.49
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1976,-0.66
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1977,-0.2
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1978,-0.58
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1979,-0.22
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1980,-0.45
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1981,0.02
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1982,0.25
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1983,0.36
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1984,-0.55
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1985,0.23
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1986,0.4
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1987,1.23
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1988,0.72
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1989,1.45
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1990,1.17
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1991,-0.11
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1992,-0.08
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1993,0.1
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1994,1.15
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1995,0.63
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1996,0.12
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1997,0.92
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1998,0.21
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,1999,0.8
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2000,0.42
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2001,0.61
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2002,0.23
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2003,1.12
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2004,0.36
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2005,-0.42
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2006,0.81
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2007,0.23
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2008,0.42
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2009,0.55
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2010,0.41
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2011,0.83
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2012,0.49
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2013,0.09
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2014,1.23
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2015,0.77
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2016,0.9
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2017,0.88
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2018,0.57
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2019,0.84
Afrika,Alger-Dar El Beida,DZ,36.717,3.25,17.41,2020,1.21
